benchmark_family,instance_id,seed,N,solver,raw_objective,energy_total,is_feasible,runtime_sec,eigen_min,eigen_max,condition_number,neg_eigs,edge_prob,num_edges,k_frac,K_card,penalty_weight,kappa_target,neg_frac,budget_total_flips,target_flips_used,echo_final_stage_flips,echo_final_stage_frac,echo_tau0,echo_num_stages,echo_best_stage
maxcut,maxcut_N50_seed1000,1000,50,sa_echo,-72.05782265628739,-72.05782265628739,1,0.788,-11.382642892626667,15.120408080056329,338.5997858996371,21,0.5,622,,,1.0,,,100000,70000,70000,0.7,11.382642892626667,2,1
maxcut,maxcut_N50_seed1001,1001,50,sa_echo,-83.85792550144828,-83.85792550144828,1,0.758,-12.795726199907246,18.452324673185807,153.7224946608496,21,0.5,632,,,1.0,,,100000,70000,70000,0.7,12.795726199907246,2,1
maxcut,maxcut_N50_seed1002,1002,50,sa_echo,-70.81213336962897,-70.81213336962897,1,0.746,-14.367643991378074,16.876845501083316,91.0675978877273,20,0.5,638,,,1.0,,,100000,70000,70000,0.7,14.367643991378074,2,1
maxcut,maxcut_N50_seed1003,1003,50,sa_echo,-53.03857441425916,-53.03857441425916,1,0.751,-10.287341604112195,16.408921187097615,283.5460247153072,18,0.5,621,,,1.0,,,100000,70000,70000,0.7,10.287341604112195,2,1
maxcut,maxcut_N50_seed1004,1004,50,sa_echo,-81.61760647258679,-81.61760647258679,1,0.741,-15.16287975591587,14.647441669563378,656.0694705679941,22,0.5,597,,,1.0,,,100000,70000,70000,0.7,15.16287975591587,2,1
maxcut,maxcut_N50_seed1005,1005,50,sa_echo,-82.17373206853367,-82.17373206853367,1,0.747,-11.778923292726368,13.049604843590732,74.54890208682279,22,0.5,606,,,1.0,,,100000,70000,70000,0.7,11.778923292726368,2,1
maxcut,maxcut_N50_seed1006,1006,50,sa_echo,-59.066147512661054,-59.066147512661054,1,0.758,-11.276191691078887,17.697333600508614,139.4758735811096,19,0.5,608,,,1.0,,,100000,70000,70000,0.7,11.276191691078887,2,1
maxcut,maxcut_N50_seed1007,1007,50,sa_echo,-79.99813532757645,-79.99813532757645,1,0.757,-13.88334331980359,14.315702944664263,93.79860053486713,23,0.5,627,,,1.0,,,100000,70000,70000,0.7,13.88334331980359,2,1
maxcut,maxcut_N50_seed1008,1008,50,sa_echo,-84.06356657267499,-84.06356657267499,1,0.783,-14.048883236139847,13.928131473039954,124.35691507632181,24,0.5,616,,,1.0,,,100000,70000,70000,0.7,14.048883236139847,2,1
maxcut,maxcut_N50_seed1009,1009,50,sa_echo,-93.25423169690727,-93.25423169690727,1,0.757,-14.113932138569389,14.812634228091458,104.27597143911748,26,0.5,621,,,1.0,,,100000,70000,70000,0.7,14.113932138569389,2,1
